Interface,Bytes Received,Packets Received,Errs Rcv,Drops Rcv,Bytes Sent,Packets Sent,Errs Sent,Drops Sent
lo,357168131,258560,0,0,357168131,258560,0,0
enp5s0,3269952491,3791526,0,18932,12237168071,9750198,0,0
docker0,0,0,0,0,0,0,0,0
lo,357168131,258560,0,0,357168131,258560,0,0
enp5s0,3269951654,3791513,0,18932,12237124409,9750158,0,0
docker0,0,0,0,0,0,0,0,0
lo,357168131,258560,0,0,357168131,258560,0,0
enp5s0,3269947975,3791467,0,18932,12236857238,9749952,0,0
docker0,0,0,0,0,0,0,0,0
lo,357168131,258560,0,0,357168131,258560,0,0
enp5s0,3269946798,3791455,0,18932,12236845644,9749934,0,0
docker0,0,0,0,0,0,0,0,0
lo,357168131,258560,0,0,357168131,258560,0,0
enp5s0,3269945489,3791440,0,18932,12236821856,9749902,0,0
docker0,0,0,0,0,0,0,0,0
lo,357168131,258560,0,0,357168131,258560,0,0
enp5s0,3269943933,3791425,0,18932,12236769785,9749853,0,0
docker0,0,0,0,0,0,0,0,0
lo,357158666,258553,0,0,357158666,258553,0,0
enp5s0,3269939242,3791396,0,18932,12236717069,9749797,0,0
docker0,0,0,0,0,0,0,0,0
lo,357158666,258553,0,0,357158666,258553,0,0
enp5s0,3269937380,3791374,0,18932,12236617549,9749717,0,0
docker0,0,0,0,0,0,0,0,0
lo,357158666,258553,0,0,357158666,258553,0,0
enp5s0,3269931020,3791268,0,18931,12235929882,9749201,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182905806,887823,0,0,1182905806,887823,0,0
enp5s0,9199930878,8027608,0,61630,13273960682,12896085,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182905806,887823,0,0,1182905806,887823,0,0
enp5s0,9199930272,8027598,0,61630,13273921913,12896054,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182896322,887816,0,0,1182896322,887816,0,0
enp5s0,9199928890,8027579,0,61630,13273868985,12896009,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182896322,887816,0,0,1182896322,887816,0,0
enp5s0,9199924999,8027545,0,61630,13273787597,12895938,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182895682,887812,0,0,1182895682,887812,0,0
enp5s0,9199916759,8027504,0,61630,13273676899,12895828,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182895682,887812,0,0,1182895682,887812,0,0
enp5s0,9199910660,8027466,0,61630,13273520127,12895695,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182894562,887799,0,0,1182894562,887799,0,0
enp5s0,9199901282,8027322,0,61630,13273009780,12895252,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182873295,887788,0,0,1182873295,887788,0,0
enp5s0,9199880375,8026995,0,61630,13271433440,12894155,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182873295,887788,0,0,1182873295,887788,0,0
enp5s0,9199860729,8026693,0,61630,13270039100,12893186,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182873295,887788,0,0,1182873295,887788,0,0
enp5s0,9199840797,8026408,0,61630,13268674604,12892232,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182873295,887788,0,0,1182873295,887788,0,0
enp5s0,9199807529,8025878,0,61630,13265964087,12890370,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182873295,887788,0,0,1182873295,887788,0,0
enp5s0,9199789328,8025578,0,61630,13264595119,12889425,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182873295,887788,0,0,1182873295,887788,0,0
enp5s0,9199774229,8025327,0,61629,13263267913,12888517,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182862364,887774,0,0,1182862364,887774,0,0
enp5s0,9199746956,8024887,0,61629,13261078351,12887000,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182858756,887746,0,0,1182858756,887746,0,0
enp5s0,9199452847,8023811,0,61629,13256857964,12883915,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182855416,887722,0,0,1182855416,887722,0,0
enp5s0,9199379805,8023259,0,61629,13254677963,12882324,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182847601,887662,0,0,1182847601,887662,0,0
enp5s0,9199315016,8023027,0,61629,13253978900,12881745,0,0
